clave,valor,descripcion,valor actual
costBreakdown.Construcción.cumulative,,Construcción · acumulado,486337251.8
costBreakdown.Construcción.june,,Construcción · junio,32332892.34
costBreakdown.Operación.cumulative,,Operación · acumulado,185400954.79
costBreakdown.Operación.june,,Operación · junio,14734752.42
costBreakdown.Otros.cumulative,,Otros · acumulado,40587955.14
costBreakdown.Otros.june,,Otros · junio,1931265.76
