clave,valor,descripcion,valor actual
cxpAging.Corriente.amount,,Corriente · importe,11183495.34
cxpAging.Corriente.percent,,Corriente · porcentaje (%),60.13
cxpAging.Menos de 1 mes.amount,,Menos de 1 mes · importe,7140113.04
cxpAging.Menos de 1 mes.percent,,Menos de 1 mes · porcentaje (%),38.39
cxpAging.1 mes.amount,,1 mes · importe,147770.75
cxpAging.1 mes.percent,,1 mes · porcentaje (%),0.79
cxpAging.2 meses o más.amount,,2 meses o más · importe,126110.5
cxpAging.2 meses o más.percent,,2 meses o más · porcentaje (%),0.68
