clave,valor,descripcion,valor actual
buildings.TH-06.units.6-102.progress,,TH-06 · apto 6-102 · avance (%),100
buildings.TH-06.units.6-102.phase,,TH-06 · apto 6-102 · fase,Superestructura
buildings.TH-06.units.6-201.progress,,TH-06 · apto 6-201 · avance (%),100
buildings.TH-06.units.6-201.phase,,TH-06 · apto 6-201 · fase,Superestructura
buildings.TH-06.units.6-202.progress,,TH-06 · apto 6-202 · avance (%),100
buildings.TH-06.units.6-202.phase,,TH-06 · apto 6-202 · fase,Superestructura
buildings.TH-06.units.6-301.progress,,TH-06 · apto 6-301 · avance (%),100
buildings.TH-06.units.6-301.phase,,TH-06 · apto 6-301 · fase,Superestructura
buildings.TH-06.units.6-302.progress,,TH-06 · apto 6-302 · avance (%),100
buildings.TH-06.units.6-302.phase,,TH-06 · apto 6-302 · fase,Superestructura
buildings.TH-01.units.1-101.progress,,TH-01 · apto 1-101 · avance (%),100
buildings.TH-01.units.1-101.phase,,TH-01 · apto 1-101 · fase,Superestructura
buildings.TH-01.units.1-102.progress,,TH-01 · apto 1-102 · avance (%),100
buildings.TH-01.units.1-102.phase,,TH-01 · apto 1-102 · fase,Superestructura
buildings.TH-01.units.1-201.progress,,TH-01 · apto 1-201 · avance (%),100
buildings.TH-01.units.1-201.phase,,TH-01 · apto 1-201 · fase,Superestructura
buildings.TH-01.units.1-202.progress,,TH-01 · apto 1-202 · avance (%),100
buildings.TH-01.units.1-202.phase,,TH-01 · apto 1-202 · fase,Superestructura
buildings.TH-01.units.1-301.progress,,TH-01 · apto 1-301 · avance (%),100
buildings.TH-01.units.1-301.phase,,TH-01 · apto 1-301 · fase,Superestructura
buildings.TH-01.units.1-302.progress,,TH-01 · apto 1-302 · avance (%),100
buildings.TH-01.units.1-302.phase,,TH-01 · apto 1-302 · fase,Superestructura
buildings.TH-05.units.5-101.progress,,TH-05 · apto 5-101 · avance (%),100
buildings.TH-05.units.5-101.phase,,TH-05 · apto 5-101 · fase,Superestructura
buildings.TH-05.units.5-102.progress,,TH-05 · apto 5-102 · avance (%),100
buildings.TH-05.units.5-102.phase,,TH-05 · apto 5-102 · fase,Superestructura
buildings.TH-05.units.5-201.progress,,TH-05 · apto 5-201 · avance (%),100
buildings.TH-05.units.5-201.phase,,TH-05 · apto 5-201 · fase,Superestructura
buildings.TH-05.units.5-202.progress,,TH-05 · apto 5-202 · avance (%),100
buildings.TH-05.units.5-202.phase,,TH-05 · apto 5-202 · fase,Superestructura
buildings.TH-05.units.5-301.progress,,TH-05 · apto 5-301 · avance (%),100
buildings.TH-05.units.5-301.phase,,TH-05 · apto 5-301 · fase,Superestructura
buildings.TH-05.units.5-302.progress,,TH-05 · apto 5-302 · avance (%),100
buildings.TH-05.units.5-302.phase,,TH-05 · apto 5-302 · fase,Superestructura
buildings.TH-09.units.9-101.progress,,TH-09 · apto 9-101 · avance (%),100
buildings.TH-09.units.9-101.phase,,TH-09 · apto 9-101 · fase,Superestructura
buildings.TH-09.units.9-102.progress,,TH-09 · apto 9-102 · avance (%),100
buildings.TH-09.units.9-102.phase,,TH-09 · apto 9-102 · fase,Superestructura
buildings.TH-09.units.9-201.progress,,TH-09 · apto 9-201 · avance (%),100
buildings.TH-09.units.9-201.phase,,TH-09 · apto 9-201 · fase,Superestructura
buildings.TH-09.units.9-202.progress,,TH-09 · apto 9-202 · avance (%),100
buildings.TH-09.units.9-202.phase,,TH-09 · apto 9-202 · fase,Superestructura
buildings.TH-09.units.9-301.progress,,TH-09 · apto 9-301 · avance (%),100
buildings.TH-09.units.9-301.phase,,TH-09 · apto 9-301 · fase,Superestructura
buildings.TH-09.units.9-302.progress,,TH-09 · apto 9-302 · avance (%),100
buildings.TH-09.units.9-302.phase,,TH-09 · apto 9-302 · fase,Superestructura
buildings.TH-08.units.8-101.progress,,TH-08 · apto 8-101 · avance (%),90
buildings.TH-08.units.8-101.phase,,TH-08 · apto 8-101 · fase,Superestructura
buildings.TH-08.units.8-102.progress,,TH-08 · apto 8-102 · avance (%),90
buildings.TH-08.units.8-102.phase,,TH-08 · apto 8-102 · fase,Superestructura
buildings.TH-08.units.8-201.progress,,TH-08 · apto 8-201 · avance (%),90
buildings.TH-08.units.8-201.phase,,TH-08 · apto 8-201 · fase,Superestructura
buildings.TH-08.units.8-202.progress,,TH-08 · apto 8-202 · avance (%),90
buildings.TH-08.units.8-202.phase,,TH-08 · apto 8-202 · fase,Superestructura
buildings.TH-08.units.8-301.progress,,TH-08 · apto 8-301 · avance (%),90
buildings.TH-08.units.8-301.phase,,TH-08 · apto 8-301 · fase,Superestructura
buildings.TH-08.units.8-302.progress,,TH-08 · apto 8-302 · avance (%),90
buildings.TH-08.units.8-302.phase,,TH-08 · apto 8-302 · fase,Superestructura
buildings.TH-07.units.7-101.progress,,TH-07 · apto 7-101 · avance (%),90
buildings.TH-07.units.7-101.phase,,TH-07 · apto 7-101 · fase,Superestructura
buildings.TH-07.units.7-102.progress,,TH-07 · apto 7-102 · avance (%),90
buildings.TH-07.units.7-102.phase,,TH-07 · apto 7-102 · fase,Superestructura
buildings.TH-07.units.7-201.progress,,TH-07 · apto 7-201 · avance (%),90
buildings.TH-07.units.7-201.phase,,TH-07 · apto 7-201 · fase,Superestructura
buildings.TH-07.units.7-202.progress,,TH-07 · apto 7-202 · avance (%),90
buildings.TH-07.units.7-202.phase,,TH-07 · apto 7-202 · fase,Superestructura
buildings.TH-07.units.7-301.progress,,TH-07 · apto 7-301 · avance (%),90
buildings.TH-07.units.7-301.phase,,TH-07 · apto 7-301 · fase,Superestructura
buildings.TH-07.units.7-302.progress,,TH-07 · apto 7-302 · avance (%),90
buildings.TH-07.units.7-302.phase,,TH-07 · apto 7-302 · fase,Superestructura
buildings.TH-12.units.12-101.progress,,TH-12 · apto 12-101 · avance (%),90
buildings.TH-12.units.12-101.phase,,TH-12 · apto 12-101 · fase,Superestructura
buildings.TH-12.units.12-102.progress,,TH-12 · apto 12-102 · avance (%),90
buildings.TH-12.units.12-102.phase,,TH-12 · apto 12-102 · fase,Superestructura
buildings.TH-12.units.12-201.progress,,TH-12 · apto 12-201 · avance (%),90
buildings.TH-12.units.12-201.phase,,TH-12 · apto 12-201 · fase,Superestructura
buildings.TH-12.units.12-202.progress,,TH-12 · apto 12-202 · avance (%),90
buildings.TH-12.units.12-202.phase,,TH-12 · apto 12-202 · fase,Superestructura
buildings.TH-12.units.12-301.progress,,TH-12 · apto 12-301 · avance (%),90
buildings.TH-12.units.12-301.phase,,TH-12 · apto 12-301 · fase,Superestructura
buildings.TH-12.units.12-302.progress,,TH-12 · apto 12-302 · avance (%),90
buildings.TH-12.units.12-302.phase,,TH-12 · apto 12-302 · fase,Superestructura
buildings.TH-11.units.11-101.progress,,TH-11 · apto 11-101 · avance (%),90
buildings.TH-11.units.11-101.phase,,TH-11 · apto 11-101 · fase,Superestructura
buildings.TH-11.units.11-102.progress,,TH-11 · apto 11-102 · avance (%),90
buildings.TH-11.units.11-102.phase,,TH-11 · apto 11-102 · fase,Superestructura
buildings.TH-11.units.11-201.progress,,TH-11 · apto 11-201 · avance (%),90
buildings.TH-11.units.11-201.phase,,TH-11 · apto 11-201 · fase,Superestructura
buildings.TH-11.units.11-202.progress,,TH-11 · apto 11-202 · avance (%),90
buildings.TH-11.units.11-202.phase,,TH-11 · apto 11-202 · fase,Superestructura
buildings.TH-11.units.11-301.progress,,TH-11 · apto 11-301 · avance (%),90
buildings.TH-11.units.11-301.phase,,TH-11 · apto 11-301 · fase,Superestructura
buildings.TH-11.units.11-302.progress,,TH-11 · apto 11-302 · avance (%),90
buildings.TH-11.units.11-302.phase,,TH-11 · apto 11-302 · fase,Superestructura
buildings.TH-10.units.10-101.progress,,TH-10 · apto 10-101 · avance (%),90
buildings.TH-10.units.10-101.phase,,TH-10 · apto 10-101 · fase,Superestructura
buildings.TH-10.units.10-102.progress,,TH-10 · apto 10-102 · avance (%),90
buildings.TH-10.units.10-102.phase,,TH-10 · apto 10-102 · fase,Superestructura
buildings.TH-10.units.10-201.progress,,TH-10 · apto 10-201 · avance (%),90
buildings.TH-10.units.10-201.phase,,TH-10 · apto 10-201 · fase,Superestructura
buildings.TH-10.units.10-202.progress,,TH-10 · apto 10-202 · avance (%),90
buildings.TH-10.units.10-202.phase,,TH-10 · apto 10-202 · fase,Superestructura
buildings.TH-10.units.10-301.progress,,TH-10 · apto 10-301 · avance (%),90
buildings.TH-10.units.10-301.phase,,TH-10 · apto 10-301 · fase,Superestructura
buildings.TH-10.units.10-302.progress,,TH-10 · apto 10-302 · avance (%),90
buildings.TH-10.units.10-302.phase,,TH-10 · apto 10-302 · fase,Superestructura
buildings.TH-15.units.15-101.progress,,TH-15 · apto 15-101 · avance (%),0
buildings.TH-15.units.15-101.phase,,TH-15 · apto 15-101 · fase,Superestructura
buildings.TH-15.units.15-102.progress,,TH-15 · apto 15-102 · avance (%),0
buildings.TH-15.units.15-102.phase,,TH-15 · apto 15-102 · fase,Superestructura
buildings.TH-15.units.15-201.progress,,TH-15 · apto 15-201 · avance (%),0
buildings.TH-15.units.15-201.phase,,TH-15 · apto 15-201 · fase,Superestructura
buildings.TH-15.units.15-202.progress,,TH-15 · apto 15-202 · avance (%),0
buildings.TH-15.units.15-202.phase,,TH-15 · apto 15-202 · fase,Superestructura
buildings.TH-15.units.15-301.progress,,TH-15 · apto 15-301 · avance (%),0
buildings.TH-15.units.15-301.phase,,TH-15 · apto 15-301 · fase,Superestructura
buildings.TH-15.units.15-302.progress,,TH-15 · apto 15-302 · avance (%),0
buildings.TH-15.units.15-302.phase,,TH-15 · apto 15-302 · fase,Superestructura
buildings.TH-14.units.14-101.progress,,TH-14 · apto 14-101 · avance (%),0
buildings.TH-14.units.14-101.phase,,TH-14 · apto 14-101 · fase,Superestructura
buildings.TH-14.units.14-102.progress,,TH-14 · apto 14-102 · avance (%),0
buildings.TH-14.units.14-102.phase,,TH-14 · apto 14-102 · fase,Superestructura
buildings.TH-14.units.14-201.progress,,TH-14 · apto 14-201 · avance (%),0
buildings.TH-14.units.14-201.phase,,TH-14 · apto 14-201 · fase,Superestructura
buildings.TH-14.units.14-202.progress,,TH-14 · apto 14-202 · avance (%),0
buildings.TH-14.units.14-202.phase,,TH-14 · apto 14-202 · fase,Superestructura
buildings.TH-14.units.14-301.progress,,TH-14 · apto 14-301 · avance (%),0
buildings.TH-14.units.14-301.phase,,TH-14 · apto 14-301 · fase,Superestructura
buildings.TH-14.units.14-302.progress,,TH-14 · apto 14-302 · avance (%),0
buildings.TH-14.units.14-302.phase,,TH-14 · apto 14-302 · fase,Superestructura
buildings.TH-13.units.13-101.progress,,TH-13 · apto 13-101 · avance (%),0
buildings.TH-13.units.13-101.phase,,TH-13 · apto 13-101 · fase,Superestructura
buildings.TH-13.units.13-102.progress,,TH-13 · apto 13-102 · avance (%),0
buildings.TH-13.units.13-102.phase,,TH-13 · apto 13-102 · fase,Superestructura
buildings.TH-13.units.13-201.progress,,TH-13 · apto 13-201 · avance (%),0
buildings.TH-13.units.13-201.phase,,TH-13 · apto 13-201 · fase,Superestructura
buildings.TH-13.units.13-202.progress,,TH-13 · apto 13-202 · avance (%),0
buildings.TH-13.units.13-202.phase,,TH-13 · apto 13-202 · fase,Superestructura
buildings.TH-13.units.13-301.progress,,TH-13 · apto 13-301 · avance (%),0
buildings.TH-13.units.13-301.phase,,TH-13 · apto 13-301 · fase,Superestructura
buildings.TH-13.units.13-302.progress,,TH-13 · apto 13-302 · avance (%),0
buildings.TH-13.units.13-302.phase,,TH-13 · apto 13-302 · fase,Superestructura
buildings.TH-18.units.18-101.progress,,TH-18 · apto 18-101 · avance (%),0
buildings.TH-18.units.18-101.phase,,TH-18 · apto 18-101 · fase,Superestructura
buildings.TH-18.units.18-102.progress,,TH-18 · apto 18-102 · avance (%),0
buildings.TH-18.units.18-102.phase,,TH-18 · apto 18-102 · fase,Superestructura
buildings.TH-18.units.18-201.progress,,TH-18 · apto 18-201 · avance (%),0
buildings.TH-18.units.18-201.phase,,TH-18 · apto 18-201 · fase,Superestructura
buildings.TH-18.units.18-202.progress,,TH-18 · apto 18-202 · avance (%),0
buildings.TH-18.units.18-202.phase,,TH-18 · apto 18-202 · fase,Superestructura
buildings.TH-18.units.18-301.progress,,TH-18 · apto 18-301 · avance (%),0
buildings.TH-18.units.18-301.phase,,TH-18 · apto 18-301 · fase,Superestructura
buildings.TH-18.units.18-302.progress,,TH-18 · apto 18-302 · avance (%),0
buildings.TH-18.units.18-302.phase,,TH-18 · apto 18-302 · fase,Superestructura
buildings.TH-17.units.17-101.progress,,TH-17 · apto 17-101 · avance (%),0
buildings.TH-17.units.17-101.phase,,TH-17 · apto 17-101 · fase,Superestructura
buildings.TH-17.units.17-102.progress,,TH-17 · apto 17-102 · avance (%),0
buildings.TH-17.units.17-102.phase,,TH-17 · apto 17-102 · fase,Superestructura
buildings.TH-17.units.17-201.progress,,TH-17 · apto 17-201 · avance (%),0
buildings.TH-17.units.17-201.phase,,TH-17 · apto 17-201 · fase,Superestructura
buildings.TH-17.units.17-202.progress,,TH-17 · apto 17-202 · avance (%),0
buildings.TH-17.units.17-202.phase,,TH-17 · apto 17-202 · fase,Superestructura
buildings.TH-17.units.17-301.progress,,TH-17 · apto 17-301 · avance (%),0
buildings.TH-17.units.17-301.phase,,TH-17 · apto 17-301 · fase,Superestructura
buildings.TH-17.units.17-302.progress,,TH-17 · apto 17-302 · avance (%),0
buildings.TH-17.units.17-302.phase,,TH-17 · apto 17-302 · fase,Superestructura
buildings.TH-16.units.16-101.progress,,TH-16 · apto 16-101 · avance (%),0
buildings.TH-16.units.16-101.phase,,TH-16 · apto 16-101 · fase,Superestructura
buildings.TH-16.units.16-102.progress,,TH-16 · apto 16-102 · avance (%),0
buildings.TH-16.units.16-102.phase,,TH-16 · apto 16-102 · fase,Superestructura
buildings.TH-16.units.16-201.progress,,TH-16 · apto 16-201 · avance (%),0
buildings.TH-16.units.16-201.phase,,TH-16 · apto 16-201 · fase,Superestructura
buildings.TH-16.units.16-202.progress,,TH-16 · apto 16-202 · avance (%),0
buildings.TH-16.units.16-202.phase,,TH-16 · apto 16-202 · fase,Superestructura
buildings.TH-16.units.16-301.progress,,TH-16 · apto 16-301 · avance (%),0
buildings.TH-16.units.16-301.phase,,TH-16 · apto 16-301 · fase,Superestructura
buildings.TH-16.units.16-302.progress,,TH-16 · apto 16-302 · avance (%),0
buildings.TH-16.units.16-302.phase,,TH-16 · apto 16-302 · fase,Superestructura
buildings.TH-71.units.71-101.progress,,TH-71 · apto 71-101 · avance (%),0
buildings.TH-71.units.71-101.phase,,TH-71 · apto 71-101 · fase,Superestructura
buildings.TH-71.units.71-102.progress,,TH-71 · apto 71-102 · avance (%),0
buildings.TH-71.units.71-102.phase,,TH-71 · apto 71-102 · fase,Superestructura
buildings.TH-71.units.71-201.progress,,TH-71 · apto 71-201 · avance (%),0
buildings.TH-71.units.71-201.phase,,TH-71 · apto 71-201 · fase,Superestructura
buildings.TH-71.units.71-202.progress,,TH-71 · apto 71-202 · avance (%),0
buildings.TH-71.units.71-202.phase,,TH-71 · apto 71-202 · fase,Superestructura
buildings.TH-71.units.71-301.progress,,TH-71 · apto 71-301 · avance (%),0
buildings.TH-71.units.71-301.phase,,TH-71 · apto 71-301 · fase,Superestructura
buildings.TH-71.units.71-302.progress,,TH-71 · apto 71-302 · avance (%),0
buildings.TH-71.units.71-302.phase,,TH-71 · apto 71-302 · fase,Superestructura
buildings.TH-70.units.70-101.progress,,TH-70 · apto 70-101 · avance (%),0
buildings.TH-70.units.70-101.phase,,TH-70 · apto 70-101 · fase,Superestructura
buildings.TH-70.units.70-102.progress,,TH-70 · apto 70-102 · avance (%),0
buildings.TH-70.units.70-102.phase,,TH-70 · apto 70-102 · fase,Superestructura
buildings.TH-70.units.70-201.progress,,TH-70 · apto 70-201 · avance (%),0
buildings.TH-70.units.70-201.phase,,TH-70 · apto 70-201 · fase,Superestructura
buildings.TH-70.units.70-202.progress,,TH-70 · apto 70-202 · avance (%),0
buildings.TH-70.units.70-202.phase,,TH-70 · apto 70-202 · fase,Superestructura
buildings.TH-70.units.70-301.progress,,TH-70 · apto 70-301 · avance (%),0
buildings.TH-70.units.70-301.phase,,TH-70 · apto 70-301 · fase,Superestructura
buildings.TH-70.units.70-302.progress,,TH-70 · apto 70-302 · avance (%),0
buildings.TH-70.units.70-302.phase,,TH-70 · apto 70-302 · fase,Superestructura
