clave,valor,descripcion,valor actual
buildings.TH-03.units.3-101.progress,,TH-03 · apto 3-101 · avance (%),100
buildings.TH-03.units.3-101.phase,,TH-03 · apto 3-101 · fase,Superestructura
buildings.TH-03.units.3-102.progress,,TH-03 · apto 3-102 · avance (%),100
buildings.TH-03.units.3-102.phase,,TH-03 · apto 3-102 · fase,Superestructura
buildings.TH-03.units.3-201.progress,,TH-03 · apto 3-201 · avance (%),100
buildings.TH-03.units.3-201.phase,,TH-03 · apto 3-201 · fase,Superestructura
buildings.TH-03.units.3-202.progress,,TH-03 · apto 3-202 · avance (%),100
buildings.TH-03.units.3-202.phase,,TH-03 · apto 3-202 · fase,Superestructura
buildings.TH-03.units.3-301.progress,,TH-03 · apto 3-301 · avance (%),100
buildings.TH-03.units.3-301.phase,,TH-03 · apto 3-301 · fase,Superestructura
buildings.TH-03.units.3-302.progress,,TH-03 · apto 3-302 · avance (%),100
buildings.TH-03.units.3-302.phase,,TH-03 · apto 3-302 · fase,Superestructura
buildings.TH-02.units.2-101.progress,,TH-02 · apto 2-101 · avance (%),100
buildings.TH-02.units.2-101.phase,,TH-02 · apto 2-101 · fase,Superestructura
buildings.TH-02.units.2-102.progress,,TH-02 · apto 2-102 · avance (%),100
buildings.TH-02.units.2-102.phase,,TH-02 · apto 2-102 · fase,Superestructura
buildings.TH-02.units.2-201.progress,,TH-02 · apto 2-201 · avance (%),100
buildings.TH-02.units.2-201.phase,,TH-02 · apto 2-201 · fase,Superestructura
buildings.TH-02.units.2-202.progress,,TH-02 · apto 2-202 · avance (%),100
buildings.TH-02.units.2-202.phase,,TH-02 · apto 2-202 · fase,Superestructura
buildings.TH-02.units.2-301.progress,,TH-02 · apto 2-301 · avance (%),100
buildings.TH-02.units.2-301.phase,,TH-02 · apto 2-301 · fase,Superestructura
buildings.TH-02.units.2-302.progress,,TH-02 · apto 2-302 · avance (%),100
buildings.TH-02.units.2-302.phase,,TH-02 · apto 2-302 · fase,Superestructura
buildings.TH-04.units.4-101.progress,,TH-04 · apto 4-101 · avance (%),100
buildings.TH-04.units.4-101.phase,,TH-04 · apto 4-101 · fase,Superestructura
buildings.TH-04.units.4-102.progress,,TH-04 · apto 4-102 · avance (%),100
buildings.TH-04.units.4-102.phase,,TH-04 · apto 4-102 · fase,Superestructura
buildings.TH-04.units.4-201.progress,,TH-04 · apto 4-201 · avance (%),100
buildings.TH-04.units.4-201.phase,,TH-04 · apto 4-201 · fase,Superestructura
buildings.TH-04.units.4-202.progress,,TH-04 · apto 4-202 · avance (%),100
buildings.TH-04.units.4-202.phase,,TH-04 · apto 4-202 · fase,Superestructura
buildings.TH-04.units.4-301.progress,,TH-04 · apto 4-301 · avance (%),100
buildings.TH-04.units.4-301.phase,,TH-04 · apto 4-301 · fase,Superestructura
buildings.TH-04.units.4-302.progress,,TH-04 · apto 4-302 · avance (%),100
buildings.TH-04.units.4-302.phase,,TH-04 · apto 4-302 · fase,Superestructura
buildings.TH-06.units.6-101.progress,,TH-06 · apto 6-101 · avance (%),100
buildings.TH-06.units.6-101.phase,,TH-06 · apto 6-101 · fase,Superestructura
