clave,valor,descripcion,valor actual
cubicaciones.Diciembre.measured,,Diciembre · medido,30338215.998886
cubicaciones.Diciembre.accounting,,Diciembre · contabilizado,35003006.87
cubicaciones.Enero.measured,,Enero · medido,3283239.8226520014
cubicaciones.Enero.accounting,,Enero · contabilizado,2355501
cubicaciones.Febrero.measured,,Febrero · medido,11865723.723938
cubicaciones.Febrero.accounting,,Febrero · contabilizado,8871467
cubicaciones.Marzo.measured,,Marzo · medido,21854974.027675997
cubicaciones.Marzo.accounting,,Marzo · contabilizado,25501503
