clave,valor,descripcion,valor actual
buildings.TH-59.units.59-202.progress,,TH-59 · apto 59-202 · avance (%),0
buildings.TH-59.units.59-202.phase,,TH-59 · apto 59-202 · fase,Obra común
buildings.TH-59.units.59-301.progress,,TH-59 · apto 59-301 · avance (%),0
buildings.TH-59.units.59-301.phase,,TH-59 · apto 59-301 · fase,Obra común
buildings.TH-59.units.59-302.progress,,TH-59 · apto 59-302 · avance (%),0
buildings.TH-59.units.59-302.phase,,TH-59 · apto 59-302 · fase,Obra común
buildings.TH-60.units.60-101.progress,,TH-60 · apto 60-101 · avance (%),0
buildings.TH-60.units.60-101.phase,,TH-60 · apto 60-101 · fase,Obra común
buildings.TH-60.units.60-102.progress,,TH-60 · apto 60-102 · avance (%),0
buildings.TH-60.units.60-102.phase,,TH-60 · apto 60-102 · fase,Obra común
buildings.TH-60.units.60-201.progress,,TH-60 · apto 60-201 · avance (%),0
buildings.TH-60.units.60-201.phase,,TH-60 · apto 60-201 · fase,Obra común
buildings.TH-60.units.60-202.progress,,TH-60 · apto 60-202 · avance (%),0
buildings.TH-60.units.60-202.phase,,TH-60 · apto 60-202 · fase,Obra común
buildings.TH-60.units.60-301.progress,,TH-60 · apto 60-301 · avance (%),0
buildings.TH-60.units.60-301.phase,,TH-60 · apto 60-301 · fase,Obra común
buildings.TH-60.units.60-302.progress,,TH-60 · apto 60-302 · avance (%),0
buildings.TH-60.units.60-302.phase,,TH-60 · apto 60-302 · fase,Obra común
buildings.TH-61.units.61-101.progress,,TH-61 · apto 61-101 · avance (%),0
buildings.TH-61.units.61-101.phase,,TH-61 · apto 61-101 · fase,Obra común
buildings.TH-61.units.61-102.progress,,TH-61 · apto 61-102 · avance (%),0
buildings.TH-61.units.61-102.phase,,TH-61 · apto 61-102 · fase,Obra común
buildings.TH-61.units.61-201.progress,,TH-61 · apto 61-201 · avance (%),0
buildings.TH-61.units.61-201.phase,,TH-61 · apto 61-201 · fase,Obra común
buildings.TH-61.units.61-202.progress,,TH-61 · apto 61-202 · avance (%),0
buildings.TH-61.units.61-202.phase,,TH-61 · apto 61-202 · fase,Obra común
buildings.TH-61.units.61-301.progress,,TH-61 · apto 61-301 · avance (%),0
buildings.TH-61.units.61-301.phase,,TH-61 · apto 61-301 · fase,Obra común
