clave,valor,descripcion,valor actual
cxpCategories.Edificaciones.amount,,Edificaciones · importe,9079360.65
cxpCategories.Comisiones.amount,,Comisiones · importe,4011222.37
cxpCategories.Urbanismo.amount,,Urbanismo · importe,2409540.07
cxpCategories.Indirectos.amount,,Indirectos · importe,806796.06
cxpCategories.Inspección.amount,,Inspección · importe,506964.3
