clave,valor,descripcion,valor actual
fiduciaryStatementSummary.monthlyResult.incomeDop,,Resultado mensual · incomeDop,4701963.91
fiduciaryStatementSummary.monthlyResult.expensesDop,,Resultado mensual · expensesDop,10774703.46
fiduciaryStatementSummary.monthlyResult.netResultDop,,Resultado mensual · netResultDop,-6072739.55
fiduciaryStatementSummary.accumulatedResult.incomeDop,,Resultado acumulado · incomeDop,43835537.2
fiduciaryStatementSummary.accumulatedResult.expensesDop,,Resultado acumulado · expensesDop,49964983.46
fiduciaryStatementSummary.accumulatedResult.netResultDop,,Resultado acumulado · netResultDop,-6129446.26
