clave,valor,descripcion,valor actual
buildings.TH-33.units.33-101.progress,,TH-33 · apto 33-101 · avance (%),0
buildings.TH-33.units.33-101.phase,,TH-33 · apto 33-101 · fase,Obra común
buildings.TH-33.units.33-102.progress,,TH-33 · apto 33-102 · avance (%),0
buildings.TH-33.units.33-102.phase,,TH-33 · apto 33-102 · fase,Obra común
buildings.TH-33.units.33-201.progress,,TH-33 · apto 33-201 · avance (%),0
buildings.TH-33.units.33-201.phase,,TH-33 · apto 33-201 · fase,Obra común
buildings.TH-33.units.33-202.progress,,TH-33 · apto 33-202 · avance (%),0
buildings.TH-33.units.33-202.phase,,TH-33 · apto 33-202 · fase,Obra común
buildings.TH-33.units.33-301.progress,,TH-33 · apto 33-301 · avance (%),0
buildings.TH-33.units.33-301.phase,,TH-33 · apto 33-301 · fase,Obra común
buildings.TH-33.units.33-302.progress,,TH-33 · apto 33-302 · avance (%),0
buildings.TH-33.units.33-302.phase,,TH-33 · apto 33-302 · fase,Obra común
buildings.TH-34.units.34-101.progress,,TH-34 · apto 34-101 · avance (%),0
buildings.TH-34.units.34-101.phase,,TH-34 · apto 34-101 · fase,Obra común
buildings.TH-34.units.34-102.progress,,TH-34 · apto 34-102 · avance (%),0
buildings.TH-34.units.34-102.phase,,TH-34 · apto 34-102 · fase,Obra común
buildings.TH-34.units.34-201.progress,,TH-34 · apto 34-201 · avance (%),0
buildings.TH-34.units.34-201.phase,,TH-34 · apto 34-201 · fase,Obra común
buildings.TH-34.units.34-202.progress,,TH-34 · apto 34-202 · avance (%),0
buildings.TH-34.units.34-202.phase,,TH-34 · apto 34-202 · fase,Obra común
buildings.TH-34.units.34-301.progress,,TH-34 · apto 34-301 · avance (%),0
buildings.TH-34.units.34-301.phase,,TH-34 · apto 34-301 · fase,Obra común
buildings.TH-34.units.34-302.progress,,TH-34 · apto 34-302 · avance (%),0
buildings.TH-34.units.34-302.phase,,TH-34 · apto 34-302 · fase,Obra común
buildings.TH-35.units.35-101.progress,,TH-35 · apto 35-101 · avance (%),0
buildings.TH-35.units.35-101.phase,,TH-35 · apto 35-101 · fase,Obra común
