clave,valor,descripcion,valor actual
buildings.TH-35.units.35-102.progress,,TH-35 · apto 35-102 · avance (%),0
buildings.TH-35.units.35-102.phase,,TH-35 · apto 35-102 · fase,Obra común
buildings.TH-35.units.35-201.progress,,TH-35 · apto 35-201 · avance (%),0
buildings.TH-35.units.35-201.phase,,TH-35 · apto 35-201 · fase,Obra común
buildings.TH-35.units.35-202.progress,,TH-35 · apto 35-202 · avance (%),0
buildings.TH-35.units.35-202.phase,,TH-35 · apto 35-202 · fase,Obra común
buildings.TH-35.units.35-301.progress,,TH-35 · apto 35-301 · avance (%),0
buildings.TH-35.units.35-301.phase,,TH-35 · apto 35-301 · fase,Obra común
buildings.TH-35.units.35-302.progress,,TH-35 · apto 35-302 · avance (%),0
buildings.TH-35.units.35-302.phase,,TH-35 · apto 35-302 · fase,Obra común
buildings.TH-36.units.36-101.progress,,TH-36 · apto 36-101 · avance (%),0
buildings.TH-36.units.36-101.phase,,TH-36 · apto 36-101 · fase,Obra común
buildings.TH-36.units.36-102.progress,,TH-36 · apto 36-102 · avance (%),0
buildings.TH-36.units.36-102.phase,,TH-36 · apto 36-102 · fase,Obra común
buildings.TH-36.units.36-201.progress,,TH-36 · apto 36-201 · avance (%),0
buildings.TH-36.units.36-201.phase,,TH-36 · apto 36-201 · fase,Obra común
buildings.TH-36.units.36-202.progress,,TH-36 · apto 36-202 · avance (%),0
buildings.TH-36.units.36-202.phase,,TH-36 · apto 36-202 · fase,Obra común
buildings.TH-36.units.36-301.progress,,TH-36 · apto 36-301 · avance (%),0
buildings.TH-36.units.36-301.phase,,TH-36 · apto 36-301 · fase,Obra común
buildings.TH-36.units.36-302.progress,,TH-36 · apto 36-302 · avance (%),0
buildings.TH-36.units.36-302.phase,,TH-36 · apto 36-302 · fase,Obra común
buildings.TH-37.units.37-101.progress,,TH-37 · apto 37-101 · avance (%),0
buildings.TH-37.units.37-101.phase,,TH-37 · apto 37-101 · fase,Obra común
buildings.TH-37.units.37-102.progress,,TH-37 · apto 37-102 · avance (%),0
buildings.TH-37.units.37-102.phase,,TH-37 · apto 37-102 · fase,Obra común
buildings.TH-37.units.37-201.progress,,TH-37 · apto 37-201 · avance (%),0
buildings.TH-37.units.37-201.phase,,TH-37 · apto 37-201 · fase,Obra común
buildings.TH-37.units.37-202.progress,,TH-37 · apto 37-202 · avance (%),0
buildings.TH-37.units.37-202.phase,,TH-37 · apto 37-202 · fase,Obra común
buildings.TH-37.units.37-301.progress,,TH-37 · apto 37-301 · avance (%),0
buildings.TH-37.units.37-301.phase,,TH-37 · apto 37-301 · fase,Obra común
buildings.TH-37.units.37-302.progress,,TH-37 · apto 37-302 · avance (%),0
buildings.TH-37.units.37-302.phase,,TH-37 · apto 37-302 · fase,Obra común
buildings.TH-38.units.38-101.progress,,TH-38 · apto 38-101 · avance (%),0
buildings.TH-38.units.38-101.phase,,TH-38 · apto 38-101 · fase,Obra común
buildings.TH-38.units.38-102.progress,,TH-38 · apto 38-102 · avance (%),0
buildings.TH-38.units.38-102.phase,,TH-38 · apto 38-102 · fase,Obra común
buildings.TH-38.units.38-201.progress,,TH-38 · apto 38-201 · avance (%),0
buildings.TH-38.units.38-201.phase,,TH-38 · apto 38-201 · fase,Obra común
buildings.TH-38.units.38-202.progress,,TH-38 · apto 38-202 · avance (%),0
buildings.TH-38.units.38-202.phase,,TH-38 · apto 38-202 · fase,Obra común
buildings.TH-38.units.38-301.progress,,TH-38 · apto 38-301 · avance (%),0
buildings.TH-38.units.38-301.phase,,TH-38 · apto 38-301 · fase,Obra común
buildings.TH-38.units.38-302.progress,,TH-38 · apto 38-302 · avance (%),0
buildings.TH-38.units.38-302.phase,,TH-38 · apto 38-302 · fase,Obra común
buildings.TH-39.units.39-101.progress,,TH-39 · apto 39-101 · avance (%),0
buildings.TH-39.units.39-101.phase,,TH-39 · apto 39-101 · fase,Obra común
buildings.TH-39.units.39-102.progress,,TH-39 · apto 39-102 · avance (%),0
buildings.TH-39.units.39-102.phase,,TH-39 · apto 39-102 · fase,Obra común
buildings.TH-39.units.39-201.progress,,TH-39 · apto 39-201 · avance (%),0
buildings.TH-39.units.39-201.phase,,TH-39 · apto 39-201 · fase,Obra común
buildings.TH-39.units.39-202.progress,,TH-39 · apto 39-202 · avance (%),0
buildings.TH-39.units.39-202.phase,,TH-39 · apto 39-202 · fase,Obra común
buildings.TH-39.units.39-301.progress,,TH-39 · apto 39-301 · avance (%),0
buildings.TH-39.units.39-301.phase,,TH-39 · apto 39-301 · fase,Obra común
buildings.TH-39.units.39-302.progress,,TH-39 · apto 39-302 · avance (%),0
buildings.TH-39.units.39-302.phase,,TH-39 · apto 39-302 · fase,Obra común
buildings.TH-40.units.40-101.progress,,TH-40 · apto 40-101 · avance (%),0
buildings.TH-40.units.40-101.phase,,TH-40 · apto 40-101 · fase,Obra común
buildings.TH-40.units.40-102.progress,,TH-40 · apto 40-102 · avance (%),0
buildings.TH-40.units.40-102.phase,,TH-40 · apto 40-102 · fase,Obra común
buildings.TH-40.units.40-201.progress,,TH-40 · apto 40-201 · avance (%),0
buildings.TH-40.units.40-201.phase,,TH-40 · apto 40-201 · fase,Obra común
buildings.TH-40.units.40-202.progress,,TH-40 · apto 40-202 · avance (%),0
buildings.TH-40.units.40-202.phase,,TH-40 · apto 40-202 · fase,Obra común
buildings.TH-40.units.40-301.progress,,TH-40 · apto 40-301 · avance (%),0
buildings.TH-40.units.40-301.phase,,TH-40 · apto 40-301 · fase,Obra común
buildings.TH-40.units.40-302.progress,,TH-40 · apto 40-302 · avance (%),0
buildings.TH-40.units.40-302.phase,,TH-40 · apto 40-302 · fase,Obra común
buildings.TH-41.units.41-101.progress,,TH-41 · apto 41-101 · avance (%),0
buildings.TH-41.units.41-101.phase,,TH-41 · apto 41-101 · fase,Obra común
buildings.TH-41.units.41-102.progress,,TH-41 · apto 41-102 · avance (%),0
buildings.TH-41.units.41-102.phase,,TH-41 · apto 41-102 · fase,Obra común
buildings.TH-41.units.41-201.progress,,TH-41 · apto 41-201 · avance (%),0
buildings.TH-41.units.41-201.phase,,TH-41 · apto 41-201 · fase,Obra común
buildings.TH-41.units.41-202.progress,,TH-41 · apto 41-202 · avance (%),0
buildings.TH-41.units.41-202.phase,,TH-41 · apto 41-202 · fase,Obra común
buildings.TH-41.units.41-301.progress,,TH-41 · apto 41-301 · avance (%),0
buildings.TH-41.units.41-301.phase,,TH-41 · apto 41-301 · fase,Obra común
buildings.TH-41.units.41-302.progress,,TH-41 · apto 41-302 · avance (%),0
buildings.TH-41.units.41-302.phase,,TH-41 · apto 41-302 · fase,Obra común
buildings.TH-42.units.42-101.progress,,TH-42 · apto 42-101 · avance (%),0
buildings.TH-42.units.42-101.phase,,TH-42 · apto 42-101 · fase,Obra común
buildings.TH-42.units.42-102.progress,,TH-42 · apto 42-102 · avance (%),0
buildings.TH-42.units.42-102.phase,,TH-42 · apto 42-102 · fase,Obra común
buildings.TH-42.units.42-201.progress,,TH-42 · apto 42-201 · avance (%),0
buildings.TH-42.units.42-201.phase,,TH-42 · apto 42-201 · fase,Obra común
buildings.TH-42.units.42-202.progress,,TH-42 · apto 42-202 · avance (%),0
buildings.TH-42.units.42-202.phase,,TH-42 · apto 42-202 · fase,Obra común
buildings.TH-42.units.42-301.progress,,TH-42 · apto 42-301 · avance (%),0
buildings.TH-42.units.42-301.phase,,TH-42 · apto 42-301 · fase,Obra común
buildings.TH-42.units.42-302.progress,,TH-42 · apto 42-302 · avance (%),0
buildings.TH-42.units.42-302.phase,,TH-42 · apto 42-302 · fase,Obra común
buildings.TH-43.units.43-101.progress,,TH-43 · apto 43-101 · avance (%),0
buildings.TH-43.units.43-101.phase,,TH-43 · apto 43-101 · fase,Obra común
buildings.TH-43.units.43-102.progress,,TH-43 · apto 43-102 · avance (%),0
buildings.TH-43.units.43-102.phase,,TH-43 · apto 43-102 · fase,Obra común
buildings.TH-43.units.43-201.progress,,TH-43 · apto 43-201 · avance (%),0
buildings.TH-43.units.43-201.phase,,TH-43 · apto 43-201 · fase,Obra común
buildings.TH-43.units.43-202.progress,,TH-43 · apto 43-202 · avance (%),0
buildings.TH-43.units.43-202.phase,,TH-43 · apto 43-202 · fase,Obra común
buildings.TH-43.units.43-301.progress,,TH-43 · apto 43-301 · avance (%),0
buildings.TH-43.units.43-301.phase,,TH-43 · apto 43-301 · fase,Obra común
buildings.TH-43.units.43-302.progress,,TH-43 · apto 43-302 · avance (%),0
buildings.TH-43.units.43-302.phase,,TH-43 · apto 43-302 · fase,Obra común
buildings.TH-44.units.44-101.progress,,TH-44 · apto 44-101 · avance (%),0
buildings.TH-44.units.44-101.phase,,TH-44 · apto 44-101 · fase,Obra común
buildings.TH-44.units.44-102.progress,,TH-44 · apto 44-102 · avance (%),0
buildings.TH-44.units.44-102.phase,,TH-44 · apto 44-102 · fase,Obra común
buildings.TH-44.units.44-201.progress,,TH-44 · apto 44-201 · avance (%),0
buildings.TH-44.units.44-201.phase,,TH-44 · apto 44-201 · fase,Obra común
buildings.TH-44.units.44-202.progress,,TH-44 · apto 44-202 · avance (%),0
buildings.TH-44.units.44-202.phase,,TH-44 · apto 44-202 · fase,Obra común
buildings.TH-44.units.44-301.progress,,TH-44 · apto 44-301 · avance (%),0
buildings.TH-44.units.44-301.phase,,TH-44 · apto 44-301 · fase,Obra común
buildings.TH-44.units.44-302.progress,,TH-44 · apto 44-302 · avance (%),0
buildings.TH-44.units.44-302.phase,,TH-44 · apto 44-302 · fase,Obra común
buildings.TH-45.units.45-101.progress,,TH-45 · apto 45-101 · avance (%),0
buildings.TH-45.units.45-101.phase,,TH-45 · apto 45-101 · fase,Obra común
buildings.TH-45.units.45-102.progress,,TH-45 · apto 45-102 · avance (%),0
buildings.TH-45.units.45-102.phase,,TH-45 · apto 45-102 · fase,Obra común
buildings.TH-45.units.45-201.progress,,TH-45 · apto 45-201 · avance (%),0
buildings.TH-45.units.45-201.phase,,TH-45 · apto 45-201 · fase,Obra común
buildings.TH-45.units.45-202.progress,,TH-45 · apto 45-202 · avance (%),0
buildings.TH-45.units.45-202.phase,,TH-45 · apto 45-202 · fase,Obra común
buildings.TH-45.units.45-301.progress,,TH-45 · apto 45-301 · avance (%),0
buildings.TH-45.units.45-301.phase,,TH-45 · apto 45-301 · fase,Obra común
buildings.TH-45.units.45-302.progress,,TH-45 · apto 45-302 · avance (%),0
buildings.TH-45.units.45-302.phase,,TH-45 · apto 45-302 · fase,Obra común
buildings.TH-46.units.46-101.progress,,TH-46 · apto 46-101 · avance (%),0
buildings.TH-46.units.46-101.phase,,TH-46 · apto 46-101 · fase,Obra común
buildings.TH-46.units.46-102.progress,,TH-46 · apto 46-102 · avance (%),0
buildings.TH-46.units.46-102.phase,,TH-46 · apto 46-102 · fase,Obra común
buildings.TH-46.units.46-201.progress,,TH-46 · apto 46-201 · avance (%),0
buildings.TH-46.units.46-201.phase,,TH-46 · apto 46-201 · fase,Obra común
buildings.TH-46.units.46-202.progress,,TH-46 · apto 46-202 · avance (%),0
buildings.TH-46.units.46-202.phase,,TH-46 · apto 46-202 · fase,Obra común
buildings.TH-46.units.46-301.progress,,TH-46 · apto 46-301 · avance (%),0
buildings.TH-46.units.46-301.phase,,TH-46 · apto 46-301 · fase,Obra común
buildings.TH-46.units.46-302.progress,,TH-46 · apto 46-302 · avance (%),0
buildings.TH-46.units.46-302.phase,,TH-46 · apto 46-302 · fase,Obra común
buildings.TH-47.units.47-101.progress,,TH-47 · apto 47-101 · avance (%),0
buildings.TH-47.units.47-101.phase,,TH-47 · apto 47-101 · fase,Obra común
buildings.TH-47.units.47-102.progress,,TH-47 · apto 47-102 · avance (%),0
buildings.TH-47.units.47-102.phase,,TH-47 · apto 47-102 · fase,Obra común
buildings.TH-47.units.47-201.progress,,TH-47 · apto 47-201 · avance (%),0
buildings.TH-47.units.47-201.phase,,TH-47 · apto 47-201 · fase,Obra común
buildings.TH-47.units.47-202.progress,,TH-47 · apto 47-202 · avance (%),0
buildings.TH-47.units.47-202.phase,,TH-47 · apto 47-202 · fase,Obra común
buildings.TH-47.units.47-301.progress,,TH-47 · apto 47-301 · avance (%),0
buildings.TH-47.units.47-301.phase,,TH-47 · apto 47-301 · fase,Obra común
buildings.TH-47.units.47-302.progress,,TH-47 · apto 47-302 · avance (%),0
buildings.TH-47.units.47-302.phase,,TH-47 · apto 47-302 · fase,Obra común
buildings.TH-48.units.48-101.progress,,TH-48 · apto 48-101 · avance (%),0
buildings.TH-48.units.48-101.phase,,TH-48 · apto 48-101 · fase,Obra común
buildings.TH-48.units.48-102.progress,,TH-48 · apto 48-102 · avance (%),0
buildings.TH-48.units.48-102.phase,,TH-48 · apto 48-102 · fase,Obra común
buildings.TH-48.units.48-201.progress,,TH-48 · apto 48-201 · avance (%),0
buildings.TH-48.units.48-201.phase,,TH-48 · apto 48-201 · fase,Obra común
buildings.TH-48.units.48-202.progress,,TH-48 · apto 48-202 · avance (%),0
buildings.TH-48.units.48-202.phase,,TH-48 · apto 48-202 · fase,Obra común
buildings.TH-48.units.48-301.progress,,TH-48 · apto 48-301 · avance (%),0
buildings.TH-48.units.48-301.phase,,TH-48 · apto 48-301 · fase,Obra común
buildings.TH-48.units.48-302.progress,,TH-48 · apto 48-302 · avance (%),0
buildings.TH-48.units.48-302.phase,,TH-48 · apto 48-302 · fase,Obra común
buildings.TH-49.units.49-101.progress,,TH-49 · apto 49-101 · avance (%),0
buildings.TH-49.units.49-101.phase,,TH-49 · apto 49-101 · fase,Obra común
buildings.TH-49.units.49-102.progress,,TH-49 · apto 49-102 · avance (%),0
buildings.TH-49.units.49-102.phase,,TH-49 · apto 49-102 · fase,Obra común
buildings.TH-49.units.49-201.progress,,TH-49 · apto 49-201 · avance (%),0
buildings.TH-49.units.49-201.phase,,TH-49 · apto 49-201 · fase,Obra común
buildings.TH-49.units.49-202.progress,,TH-49 · apto 49-202 · avance (%),0
buildings.TH-49.units.49-202.phase,,TH-49 · apto 49-202 · fase,Obra común
buildings.TH-49.units.49-301.progress,,TH-49 · apto 49-301 · avance (%),0
buildings.TH-49.units.49-301.phase,,TH-49 · apto 49-301 · fase,Obra común
buildings.TH-49.units.49-302.progress,,TH-49 · apto 49-302 · avance (%),0
buildings.TH-49.units.49-302.phase,,TH-49 · apto 49-302 · fase,Obra común
buildings.TH-50.units.50-101.progress,,TH-50 · apto 50-101 · avance (%),0
buildings.TH-50.units.50-101.phase,,TH-50 · apto 50-101 · fase,Obra común
buildings.TH-50.units.50-102.progress,,TH-50 · apto 50-102 · avance (%),0
buildings.TH-50.units.50-102.phase,,TH-50 · apto 50-102 · fase,Obra común
buildings.TH-50.units.50-201.progress,,TH-50 · apto 50-201 · avance (%),0
buildings.TH-50.units.50-201.phase,,TH-50 · apto 50-201 · fase,Obra común
buildings.TH-50.units.50-202.progress,,TH-50 · apto 50-202 · avance (%),0
buildings.TH-50.units.50-202.phase,,TH-50 · apto 50-202 · fase,Obra común
buildings.TH-50.units.50-301.progress,,TH-50 · apto 50-301 · avance (%),0
buildings.TH-50.units.50-301.phase,,TH-50 · apto 50-301 · fase,Obra común
buildings.TH-50.units.50-302.progress,,TH-50 · apto 50-302 · avance (%),0
buildings.TH-50.units.50-302.phase,,TH-50 · apto 50-302 · fase,Obra común
buildings.TH-51.units.51-101.progress,,TH-51 · apto 51-101 · avance (%),0
buildings.TH-51.units.51-101.phase,,TH-51 · apto 51-101 · fase,Obra común
buildings.TH-51.units.51-102.progress,,TH-51 · apto 51-102 · avance (%),0
buildings.TH-51.units.51-102.phase,,TH-51 · apto 51-102 · fase,Obra común
buildings.TH-51.units.51-201.progress,,TH-51 · apto 51-201 · avance (%),0
buildings.TH-51.units.51-201.phase,,TH-51 · apto 51-201 · fase,Obra común
buildings.TH-51.units.51-202.progress,,TH-51 · apto 51-202 · avance (%),0
buildings.TH-51.units.51-202.phase,,TH-51 · apto 51-202 · fase,Obra común
buildings.TH-51.units.51-301.progress,,TH-51 · apto 51-301 · avance (%),0
buildings.TH-51.units.51-301.phase,,TH-51 · apto 51-301 · fase,Obra común
buildings.TH-51.units.51-302.progress,,TH-51 · apto 51-302 · avance (%),0
buildings.TH-51.units.51-302.phase,,TH-51 · apto 51-302 · fase,Obra común
buildings.TH-52.units.52-101.progress,,TH-52 · apto 52-101 · avance (%),0
buildings.TH-52.units.52-101.phase,,TH-52 · apto 52-101 · fase,Obra común
buildings.TH-52.units.52-102.progress,,TH-52 · apto 52-102 · avance (%),0
buildings.TH-52.units.52-102.phase,,TH-52 · apto 52-102 · fase,Obra común
buildings.TH-52.units.52-201.progress,,TH-52 · apto 52-201 · avance (%),0
buildings.TH-52.units.52-201.phase,,TH-52 · apto 52-201 · fase,Obra común
buildings.TH-52.units.52-202.progress,,TH-52 · apto 52-202 · avance (%),0
buildings.TH-52.units.52-202.phase,,TH-52 · apto 52-202 · fase,Obra común
buildings.TH-52.units.52-301.progress,,TH-52 · apto 52-301 · avance (%),0
buildings.TH-52.units.52-301.phase,,TH-52 · apto 52-301 · fase,Obra común
buildings.TH-52.units.52-302.progress,,TH-52 · apto 52-302 · avance (%),0
buildings.TH-52.units.52-302.phase,,TH-52 · apto 52-302 · fase,Obra común
