clave,valor,descripcion,valor actual
buildings.TH-75.forecastFinish,,TH-75 · fin previsto (dd/mm/aaaa),14/05/2027
buildings.TH-74.progress,,TH-74 · avance ejecutado (%),0
buildings.TH-74.planProgress,,TH-74 · avance previsto (%),
buildings.TH-74.deviationDays,,TH-74 · desviación (días),10
buildings.TH-74.forecastFinish,,TH-74 · fin previsto (dd/mm/aaaa),24/05/2027
buildings.TH-77.progress,,TH-77 · avance ejecutado (%),0
buildings.TH-77.planProgress,,TH-77 · avance previsto (%),
buildings.TH-77.deviationDays,,TH-77 · desviación (días),7
buildings.TH-77.forecastFinish,,TH-77 · fin previsto (dd/mm/aaaa),01/06/2027
buildings.TH-76.progress,,TH-76 · avance ejecutado (%),0
buildings.TH-76.planProgress,,TH-76 · avance previsto (%),
buildings.TH-76.deviationDays,,TH-76 · desviación (días),7
buildings.TH-76.forecastFinish,,TH-76 · fin previsto (dd/mm/aaaa),07/06/2027
