clave,valor,descripcion,valor actual
buildings.TH-21.units.21-202.phase,,TH-21 · apto 21-202 · fase,Obra común
buildings.TH-21.units.21-301.progress,,TH-21 · apto 21-301 · avance (%),0
buildings.TH-21.units.21-301.phase,,TH-21 · apto 21-301 · fase,Obra común
buildings.TH-21.units.21-302.progress,,TH-21 · apto 21-302 · avance (%),0
buildings.TH-21.units.21-302.phase,,TH-21 · apto 21-302 · fase,Obra común
buildings.TH-22.units.22-101.progress,,TH-22 · apto 22-101 · avance (%),0
buildings.TH-22.units.22-101.phase,,TH-22 · apto 22-101 · fase,Obra común
buildings.TH-22.units.22-102.progress,,TH-22 · apto 22-102 · avance (%),0
buildings.TH-22.units.22-102.phase,,TH-22 · apto 22-102 · fase,Obra común
buildings.TH-22.units.22-201.progress,,TH-22 · apto 22-201 · avance (%),0
buildings.TH-22.units.22-201.phase,,TH-22 · apto 22-201 · fase,Obra común
buildings.TH-22.units.22-202.progress,,TH-22 · apto 22-202 · avance (%),0
buildings.TH-22.units.22-202.phase,,TH-22 · apto 22-202 · fase,Obra común
buildings.TH-22.units.22-301.progress,,TH-22 · apto 22-301 · avance (%),0
buildings.TH-22.units.22-301.phase,,TH-22 · apto 22-301 · fase,Obra común
buildings.TH-22.units.22-302.progress,,TH-22 · apto 22-302 · avance (%),0
buildings.TH-22.units.22-302.phase,,TH-22 · apto 22-302 · fase,Obra común
buildings.TH-23.units.23-101.progress,,TH-23 · apto 23-101 · avance (%),0
buildings.TH-23.units.23-101.phase,,TH-23 · apto 23-101 · fase,Obra común
buildings.TH-23.units.23-102.progress,,TH-23 · apto 23-102 · avance (%),0
buildings.TH-23.units.23-102.phase,,TH-23 · apto 23-102 · fase,Obra común
buildings.TH-23.units.23-201.progress,,TH-23 · apto 23-201 · avance (%),0
buildings.TH-23.units.23-201.phase,,TH-23 · apto 23-201 · fase,Obra común
buildings.TH-23.units.23-202.progress,,TH-23 · apto 23-202 · avance (%),0
buildings.TH-23.units.23-202.phase,,TH-23 · apto 23-202 · fase,Obra común
buildings.TH-23.units.23-301.progress,,TH-23 · apto 23-301 · avance (%),0
buildings.TH-23.units.23-301.phase,,TH-23 · apto 23-301 · fase,Obra común
buildings.TH-23.units.23-302.progress,,TH-23 · apto 23-302 · avance (%),0
buildings.TH-23.units.23-302.phase,,TH-23 · apto 23-302 · fase,Obra común
buildings.TH-24.units.24-101.progress,,TH-24 · apto 24-101 · avance (%),0
buildings.TH-24.units.24-101.phase,,TH-24 · apto 24-101 · fase,Obra común
buildings.TH-24.units.24-102.progress,,TH-24 · apto 24-102 · avance (%),0
buildings.TH-24.units.24-102.phase,,TH-24 · apto 24-102 · fase,Obra común
buildings.TH-24.units.24-201.progress,,TH-24 · apto 24-201 · avance (%),0
buildings.TH-24.units.24-201.phase,,TH-24 · apto 24-201 · fase,Obra común
buildings.TH-24.units.24-202.progress,,TH-24 · apto 24-202 · avance (%),0
buildings.TH-24.units.24-202.phase,,TH-24 · apto 24-202 · fase,Obra común
buildings.TH-24.units.24-301.progress,,TH-24 · apto 24-301 · avance (%),0
buildings.TH-24.units.24-301.phase,,TH-24 · apto 24-301 · fase,Obra común
buildings.TH-24.units.24-302.progress,,TH-24 · apto 24-302 · avance (%),0
buildings.TH-24.units.24-302.phase,,TH-24 · apto 24-302 · fase,Obra común
buildings.TH-25.units.25-101.progress,,TH-25 · apto 25-101 · avance (%),0
buildings.TH-25.units.25-101.phase,,TH-25 · apto 25-101 · fase,Obra común
buildings.TH-25.units.25-102.progress,,TH-25 · apto 25-102 · avance (%),0
buildings.TH-25.units.25-102.phase,,TH-25 · apto 25-102 · fase,Obra común
buildings.TH-25.units.25-201.progress,,TH-25 · apto 25-201 · avance (%),0
buildings.TH-25.units.25-201.phase,,TH-25 · apto 25-201 · fase,Obra común
buildings.TH-25.units.25-202.progress,,TH-25 · apto 25-202 · avance (%),0
buildings.TH-25.units.25-202.phase,,TH-25 · apto 25-202 · fase,Obra común
buildings.TH-25.units.25-301.progress,,TH-25 · apto 25-301 · avance (%),0
buildings.TH-25.units.25-301.phase,,TH-25 · apto 25-301 · fase,Obra común
buildings.TH-25.units.25-302.progress,,TH-25 · apto 25-302 · avance (%),0
buildings.TH-25.units.25-302.phase,,TH-25 · apto 25-302 · fase,Obra común
buildings.TH-26.units.26-101.progress,,TH-26 · apto 26-101 · avance (%),0
buildings.TH-26.units.26-101.phase,,TH-26 · apto 26-101 · fase,Obra común
buildings.TH-26.units.26-102.progress,,TH-26 · apto 26-102 · avance (%),0
buildings.TH-26.units.26-102.phase,,TH-26 · apto 26-102 · fase,Obra común
buildings.TH-26.units.26-201.progress,,TH-26 · apto 26-201 · avance (%),0
buildings.TH-26.units.26-201.phase,,TH-26 · apto 26-201 · fase,Obra común
buildings.TH-26.units.26-202.progress,,TH-26 · apto 26-202 · avance (%),0
buildings.TH-26.units.26-202.phase,,TH-26 · apto 26-202 · fase,Obra común
buildings.TH-26.units.26-301.progress,,TH-26 · apto 26-301 · avance (%),0
buildings.TH-26.units.26-301.phase,,TH-26 · apto 26-301 · fase,Obra común
buildings.TH-26.units.26-302.progress,,TH-26 · apto 26-302 · avance (%),0
buildings.TH-26.units.26-302.phase,,TH-26 · apto 26-302 · fase,Obra común
buildings.TH-27.units.27-101.progress,,TH-27 · apto 27-101 · avance (%),0
buildings.TH-27.units.27-101.phase,,TH-27 · apto 27-101 · fase,Obra común
buildings.TH-27.units.27-102.progress,,TH-27 · apto 27-102 · avance (%),0
buildings.TH-27.units.27-102.phase,,TH-27 · apto 27-102 · fase,Obra común
buildings.TH-27.units.27-201.progress,,TH-27 · apto 27-201 · avance (%),0
buildings.TH-27.units.27-201.phase,,TH-27 · apto 27-201 · fase,Obra común
buildings.TH-27.units.27-202.progress,,TH-27 · apto 27-202 · avance (%),0
buildings.TH-27.units.27-202.phase,,TH-27 · apto 27-202 · fase,Obra común
buildings.TH-27.units.27-301.progress,,TH-27 · apto 27-301 · avance (%),0
buildings.TH-27.units.27-301.phase,,TH-27 · apto 27-301 · fase,Obra común
buildings.TH-27.units.27-302.progress,,TH-27 · apto 27-302 · avance (%),0
buildings.TH-27.units.27-302.phase,,TH-27 · apto 27-302 · fase,Obra común
buildings.TH-28.units.28-101.progress,,TH-28 · apto 28-101 · avance (%),0
buildings.TH-28.units.28-101.phase,,TH-28 · apto 28-101 · fase,Obra común
buildings.TH-28.units.28-102.progress,,TH-28 · apto 28-102 · avance (%),0
buildings.TH-28.units.28-102.phase,,TH-28 · apto 28-102 · fase,Obra común
buildings.TH-28.units.28-201.progress,,TH-28 · apto 28-201 · avance (%),0
buildings.TH-28.units.28-201.phase,,TH-28 · apto 28-201 · fase,Obra común
buildings.TH-28.units.28-202.progress,,TH-28 · apto 28-202 · avance (%),0
buildings.TH-28.units.28-202.phase,,TH-28 · apto 28-202 · fase,Obra común
buildings.TH-28.units.28-301.progress,,TH-28 · apto 28-301 · avance (%),0
buildings.TH-28.units.28-301.phase,,TH-28 · apto 28-301 · fase,Obra común
buildings.TH-28.units.28-302.progress,,TH-28 · apto 28-302 · avance (%),0
buildings.TH-28.units.28-302.phase,,TH-28 · apto 28-302 · fase,Obra común
buildings.TH-29.units.29-101.progress,,TH-29 · apto 29-101 · avance (%),0
buildings.TH-29.units.29-101.phase,,TH-29 · apto 29-101 · fase,Obra común
buildings.TH-29.units.29-102.progress,,TH-29 · apto 29-102 · avance (%),0
buildings.TH-29.units.29-102.phase,,TH-29 · apto 29-102 · fase,Obra común
buildings.TH-29.units.29-201.progress,,TH-29 · apto 29-201 · avance (%),0
buildings.TH-29.units.29-201.phase,,TH-29 · apto 29-201 · fase,Obra común
buildings.TH-29.units.29-202.progress,,TH-29 · apto 29-202 · avance (%),0
buildings.TH-29.units.29-202.phase,,TH-29 · apto 29-202 · fase,Obra común
buildings.TH-29.units.29-301.progress,,TH-29 · apto 29-301 · avance (%),0
buildings.TH-29.units.29-301.phase,,TH-29 · apto 29-301 · fase,Obra común
buildings.TH-29.units.29-302.progress,,TH-29 · apto 29-302 · avance (%),0
buildings.TH-29.units.29-302.phase,,TH-29 · apto 29-302 · fase,Obra común
buildings.TH-30.units.30-101.progress,,TH-30 · apto 30-101 · avance (%),0
buildings.TH-30.units.30-101.phase,,TH-30 · apto 30-101 · fase,Obra común
buildings.TH-30.units.30-102.progress,,TH-30 · apto 30-102 · avance (%),0
buildings.TH-30.units.30-102.phase,,TH-30 · apto 30-102 · fase,Obra común
buildings.TH-30.units.30-201.progress,,TH-30 · apto 30-201 · avance (%),0
buildings.TH-30.units.30-201.phase,,TH-30 · apto 30-201 · fase,Obra común
buildings.TH-30.units.30-202.progress,,TH-30 · apto 30-202 · avance (%),0
buildings.TH-30.units.30-202.phase,,TH-30 · apto 30-202 · fase,Obra común
buildings.TH-30.units.30-301.progress,,TH-30 · apto 30-301 · avance (%),0
buildings.TH-30.units.30-301.phase,,TH-30 · apto 30-301 · fase,Obra común
buildings.TH-30.units.30-302.progress,,TH-30 · apto 30-302 · avance (%),0
buildings.TH-30.units.30-302.phase,,TH-30 · apto 30-302 · fase,Obra común
buildings.TH-31.units.31-101.progress,,TH-31 · apto 31-101 · avance (%),0
buildings.TH-31.units.31-101.phase,,TH-31 · apto 31-101 · fase,Obra común
buildings.TH-31.units.31-102.progress,,TH-31 · apto 31-102 · avance (%),0
buildings.TH-31.units.31-102.phase,,TH-31 · apto 31-102 · fase,Obra común
buildings.TH-31.units.31-201.progress,,TH-31 · apto 31-201 · avance (%),0
buildings.TH-31.units.31-201.phase,,TH-31 · apto 31-201 · fase,Obra común
buildings.TH-31.units.31-202.progress,,TH-31 · apto 31-202 · avance (%),0
buildings.TH-31.units.31-202.phase,,TH-31 · apto 31-202 · fase,Obra común
buildings.TH-31.units.31-301.progress,,TH-31 · apto 31-301 · avance (%),0
buildings.TH-31.units.31-301.phase,,TH-31 · apto 31-301 · fase,Obra común
buildings.TH-31.units.31-302.progress,,TH-31 · apto 31-302 · avance (%),0
buildings.TH-31.units.31-302.phase,,TH-31 · apto 31-302 · fase,Obra común
buildings.TH-32.units.32-101.progress,,TH-32 · apto 32-101 · avance (%),0
buildings.TH-32.units.32-101.phase,,TH-32 · apto 32-101 · fase,Obra común
buildings.TH-32.units.32-102.progress,,TH-32 · apto 32-102 · avance (%),0
buildings.TH-32.units.32-102.phase,,TH-32 · apto 32-102 · fase,Obra común
buildings.TH-32.units.32-201.progress,,TH-32 · apto 32-201 · avance (%),0
buildings.TH-32.units.32-201.phase,,TH-32 · apto 32-201 · fase,Obra común
buildings.TH-32.units.32-202.progress,,TH-32 · apto 32-202 · avance (%),0
buildings.TH-32.units.32-202.phase,,TH-32 · apto 32-202 · fase,Obra común
buildings.TH-32.units.32-301.progress,,TH-32 · apto 32-301 · avance (%),0
buildings.TH-32.units.32-301.phase,,TH-32 · apto 32-301 · fase,Obra común
buildings.TH-32.units.32-302.progress,,TH-32 · apto 32-302 · avance (%),0
buildings.TH-32.units.32-302.phase,,TH-32 · apto 32-302 · fase,Obra común
