clave,valor,descripcion,valor actual
buildings.TH-73.units.73-101.progress,,TH-73 · apto 73-101 · avance (%),0
buildings.TH-73.units.73-101.phase,,TH-73 · apto 73-101 · fase,Obra común
buildings.TH-73.units.73-102.progress,,TH-73 · apto 73-102 · avance (%),0
buildings.TH-73.units.73-102.phase,,TH-73 · apto 73-102 · fase,Obra común
buildings.TH-73.units.73-201.progress,,TH-73 · apto 73-201 · avance (%),0
buildings.TH-73.units.73-201.phase,,TH-73 · apto 73-201 · fase,Obra común
buildings.TH-73.units.73-202.progress,,TH-73 · apto 73-202 · avance (%),0
buildings.TH-73.units.73-202.phase,,TH-73 · apto 73-202 · fase,Obra común
buildings.TH-73.units.73-301.progress,,TH-73 · apto 73-301 · avance (%),0
buildings.TH-73.units.73-301.phase,,TH-73 · apto 73-301 · fase,Obra común
buildings.TH-73.units.73-302.progress,,TH-73 · apto 73-302 · avance (%),0
buildings.TH-73.units.73-302.phase,,TH-73 · apto 73-302 · fase,Obra común
buildings.TH-72.units.72-101.progress,,TH-72 · apto 72-101 · avance (%),0
buildings.TH-72.units.72-101.phase,,TH-72 · apto 72-101 · fase,Obra común
buildings.TH-72.units.72-102.progress,,TH-72 · apto 72-102 · avance (%),0
buildings.TH-72.units.72-102.phase,,TH-72 · apto 72-102 · fase,Obra común
buildings.TH-72.units.72-201.progress,,TH-72 · apto 72-201 · avance (%),0
buildings.TH-72.units.72-201.phase,,TH-72 · apto 72-201 · fase,Obra común
buildings.TH-72.units.72-202.progress,,TH-72 · apto 72-202 · avance (%),0
buildings.TH-72.units.72-202.phase,,TH-72 · apto 72-202 · fase,Obra común
buildings.TH-72.units.72-301.progress,,TH-72 · apto 72-301 · avance (%),0
buildings.TH-72.units.72-301.phase,,TH-72 · apto 72-301 · fase,Obra común
buildings.TH-72.units.72-302.progress,,TH-72 · apto 72-302 · avance (%),0
buildings.TH-72.units.72-302.phase,,TH-72 · apto 72-302 · fase,Obra común
buildings.TH-75.units.75-101.progress,,TH-75 · apto 75-101 · avance (%),0
buildings.TH-75.units.75-101.phase,,TH-75 · apto 75-101 · fase,Obra común
buildings.TH-75.units.75-102.progress,,TH-75 · apto 75-102 · avance (%),0
buildings.TH-75.units.75-102.phase,,TH-75 · apto 75-102 · fase,Obra común
buildings.TH-75.units.75-201.progress,,TH-75 · apto 75-201 · avance (%),0
buildings.TH-75.units.75-201.phase,,TH-75 · apto 75-201 · fase,Obra común
buildings.TH-75.units.75-202.progress,,TH-75 · apto 75-202 · avance (%),0
buildings.TH-75.units.75-202.phase,,TH-75 · apto 75-202 · fase,Obra común
buildings.TH-75.units.75-301.progress,,TH-75 · apto 75-301 · avance (%),0
buildings.TH-75.units.75-301.phase,,TH-75 · apto 75-301 · fase,Obra común
buildings.TH-75.units.75-302.progress,,TH-75 · apto 75-302 · avance (%),0
buildings.TH-75.units.75-302.phase,,TH-75 · apto 75-302 · fase,Obra común
buildings.TH-74.units.74-101.progress,,TH-74 · apto 74-101 · avance (%),0
buildings.TH-74.units.74-101.phase,,TH-74 · apto 74-101 · fase,Obra común
buildings.TH-74.units.74-102.progress,,TH-74 · apto 74-102 · avance (%),0
buildings.TH-74.units.74-102.phase,,TH-74 · apto 74-102 · fase,Obra común
buildings.TH-74.units.74-201.progress,,TH-74 · apto 74-201 · avance (%),0
buildings.TH-74.units.74-201.phase,,TH-74 · apto 74-201 · fase,Obra común
buildings.TH-74.units.74-202.progress,,TH-74 · apto 74-202 · avance (%),0
buildings.TH-74.units.74-202.phase,,TH-74 · apto 74-202 · fase,Obra común
buildings.TH-74.units.74-301.progress,,TH-74 · apto 74-301 · avance (%),0
buildings.TH-74.units.74-301.phase,,TH-74 · apto 74-301 · fase,Obra común
buildings.TH-74.units.74-302.progress,,TH-74 · apto 74-302 · avance (%),0
buildings.TH-74.units.74-302.phase,,TH-74 · apto 74-302 · fase,Obra común
buildings.TH-77.units.77-101.progress,,TH-77 · apto 77-101 · avance (%),0
buildings.TH-77.units.77-101.phase,,TH-77 · apto 77-101 · fase,Obra común
buildings.TH-77.units.77-102.progress,,TH-77 · apto 77-102 · avance (%),0
buildings.TH-77.units.77-102.phase,,TH-77 · apto 77-102 · fase,Obra común
buildings.TH-77.units.77-201.progress,,TH-77 · apto 77-201 · avance (%),0
buildings.TH-77.units.77-201.phase,,TH-77 · apto 77-201 · fase,Obra común
buildings.TH-77.units.77-202.progress,,TH-77 · apto 77-202 · avance (%),0
buildings.TH-77.units.77-202.phase,,TH-77 · apto 77-202 · fase,Obra común
buildings.TH-77.units.77-301.progress,,TH-77 · apto 77-301 · avance (%),0
buildings.TH-77.units.77-301.phase,,TH-77 · apto 77-301 · fase,Obra común
buildings.TH-77.units.77-302.progress,,TH-77 · apto 77-302 · avance (%),0
buildings.TH-77.units.77-302.phase,,TH-77 · apto 77-302 · fase,Obra común
buildings.TH-76.units.76-101.progress,,TH-76 · apto 76-101 · avance (%),0
buildings.TH-76.units.76-101.phase,,TH-76 · apto 76-101 · fase,Obra común
buildings.TH-76.units.76-102.progress,,TH-76 · apto 76-102 · avance (%),0
buildings.TH-76.units.76-102.phase,,TH-76 · apto 76-102 · fase,Obra común
buildings.TH-76.units.76-201.progress,,TH-76 · apto 76-201 · avance (%),0
buildings.TH-76.units.76-201.phase,,TH-76 · apto 76-201 · fase,Obra común
buildings.TH-76.units.76-202.progress,,TH-76 · apto 76-202 · avance (%),0
buildings.TH-76.units.76-202.phase,,TH-76 · apto 76-202 · fase,Obra común
buildings.TH-76.units.76-301.progress,,TH-76 · apto 76-301 · avance (%),0
buildings.TH-76.units.76-301.phase,,TH-76 · apto 76-301 · fase,Obra común
buildings.TH-76.units.76-302.progress,,TH-76 · apto 76-302 · avance (%),0
buildings.TH-76.units.76-302.phase,,TH-76 · apto 76-302 · fase,Obra común
buildings.TH-19.units.19-101.progress,,TH-19 · apto 19-101 · avance (%),0
buildings.TH-19.units.19-101.phase,,TH-19 · apto 19-101 · fase,Obra común
buildings.TH-19.units.19-102.progress,,TH-19 · apto 19-102 · avance (%),0
buildings.TH-19.units.19-102.phase,,TH-19 · apto 19-102 · fase,Obra común
buildings.TH-19.units.19-201.progress,,TH-19 · apto 19-201 · avance (%),0
buildings.TH-19.units.19-201.phase,,TH-19 · apto 19-201 · fase,Obra común
buildings.TH-19.units.19-202.progress,,TH-19 · apto 19-202 · avance (%),0
buildings.TH-19.units.19-202.phase,,TH-19 · apto 19-202 · fase,Obra común
buildings.TH-19.units.19-301.progress,,TH-19 · apto 19-301 · avance (%),0
buildings.TH-19.units.19-301.phase,,TH-19 · apto 19-301 · fase,Obra común
buildings.TH-19.units.19-302.progress,,TH-19 · apto 19-302 · avance (%),0
buildings.TH-19.units.19-302.phase,,TH-19 · apto 19-302 · fase,Obra común
buildings.TH-20.units.20-101.progress,,TH-20 · apto 20-101 · avance (%),0
buildings.TH-20.units.20-101.phase,,TH-20 · apto 20-101 · fase,Obra común
buildings.TH-20.units.20-102.progress,,TH-20 · apto 20-102 · avance (%),0
buildings.TH-20.units.20-102.phase,,TH-20 · apto 20-102 · fase,Obra común
buildings.TH-20.units.20-201.progress,,TH-20 · apto 20-201 · avance (%),0
buildings.TH-20.units.20-201.phase,,TH-20 · apto 20-201 · fase,Obra común
buildings.TH-20.units.20-202.progress,,TH-20 · apto 20-202 · avance (%),0
buildings.TH-20.units.20-202.phase,,TH-20 · apto 20-202 · fase,Obra común
buildings.TH-20.units.20-301.progress,,TH-20 · apto 20-301 · avance (%),0
buildings.TH-20.units.20-301.phase,,TH-20 · apto 20-301 · fase,Obra común
buildings.TH-20.units.20-302.progress,,TH-20 · apto 20-302 · avance (%),0
buildings.TH-20.units.20-302.phase,,TH-20 · apto 20-302 · fase,Obra común
buildings.TH-21.units.21-101.progress,,TH-21 · apto 21-101 · avance (%),0
buildings.TH-21.units.21-101.phase,,TH-21 · apto 21-101 · fase,Obra común
buildings.TH-21.units.21-102.progress,,TH-21 · apto 21-102 · avance (%),0
buildings.TH-21.units.21-102.phase,,TH-21 · apto 21-102 · fase,Obra común
buildings.TH-21.units.21-201.progress,,TH-21 · apto 21-201 · avance (%),0
buildings.TH-21.units.21-201.phase,,TH-21 · apto 21-201 · fase,Obra común
buildings.TH-21.units.21-202.progress,,TH-21 · apto 21-202 · avance (%),0
