clave,valor,descripcion,valor actual
projectSnapshot.overallProgress,,Avance físico global ejecutado (%),22.71
projectSnapshot.plannedProgress,,Avance físico global previsto (%),26.61
projectSnapshot.urbanismProgress,,Avance de urbanismo consolidado (%),18.28
projectSnapshot.apartmentAverageProgress,,Media de avance por apartamento (%),6.431558441558448
