clave,valor,descripcion,valor actual
urbanismReportAreas.Movimiento de tierra.progress,,Movimiento de tierra · avance (%),72.76
urbanismReportAreas.Hidrosanitarias.progress,,Hidrosanitarias · avance (%),25.03
urbanismReportAreas.Paisajismo.progress,,Paisajismo · avance (%),12.24
urbanismReportAreas.Vialidad.progress,,Vialidad · avance (%),6.33
urbanismReportAreas.Sistemas especiales.progress,,Sistemas especiales · avance (%),3.51
urbanismReportAreas.Infraestructura eléctrica.progress,,Infraestructura eléctrica · avance (%),0
urbanismReportAreas.Telecomunicaciones.progress,,Telecomunicaciones · avance (%),0
urbanismReportAreas.Gas.progress,,Gas · avance (%),0
urbanismReportAreas.Obras exteriores.progress,,Obras exteriores · avance (%),0
