clave,valor,descripcion,valor actual
constructionDisciplines.0.progress,,Infraestructura · avance (%),56.34
constructionDisciplines.1.progress,,Superestructura · avance (%),44.66
constructionDisciplines.2.progress,,Albañilería · avance (%),22.17
constructionDisciplines.3.progress,,"Inst. eléctricas, sanitarias y gas · avance (%)",14.11
constructionDisciplines.4.progress,,Pintura · avance (%),13.85
constructionDisciplines.5.progress,,Revestimientos y cerámica · avance (%),2.35
constructionDisciplines.6.progress,,Misceláneos · avance (%),1.62
constructionDisciplines.7.progress,,Herrería · avance (%),0.66
constructionDisciplines.8.progress,,Carpintería · avance (%),0
