clave,valor,descripcion,valor actual
reprogrammedFlowMonths.16.buildingsDop,,abr-27 · Edificios DOP,13353785.856154
reprogrammedFlowMonths.17.month,,Mes 18,may-27
reprogrammedFlowMonths.17.status,,may-27 · real o previsión,forecast
reprogrammedFlowMonths.17.currentDop,,may-27 · total DOP,13975913.525769
reprogrammedFlowMonths.17.urbanismDop,,may-27 · Urbanismo DOP,8561974.33
reprogrammedFlowMonths.17.buildingsDop,,may-27 · Edificios DOP,5413939.195769
reprogrammedFlowMonths.18.month,,Mes 19,jun-27
reprogrammedFlowMonths.18.status,,jun-27 · real o previsión,forecast
reprogrammedFlowMonths.18.currentDop,,jun-27 · total DOP,260986.155
reprogrammedFlowMonths.18.urbanismDop,,jun-27 · Urbanismo DOP,0
reprogrammedFlowMonths.18.buildingsDop,,jun-27 · Edificios DOP,260986.155
reprogrammedFlowMonths.19.month,,Mes 20,jul-27
reprogrammedFlowMonths.19.status,,jul-27 · real o previsión,forecast
reprogrammedFlowMonths.19.currentDop,,jul-27 · total DOP,0
reprogrammedFlowMonths.19.urbanismDop,,jul-27 · Urbanismo DOP,0
reprogrammedFlowMonths.19.buildingsDop,,jul-27 · Edificios DOP,0
