clave,valor,descripcion,valor actual
buildings.TH-73.units.73-101.progress,,TH-73 · apto 73-101 · avance (%),0
buildings.TH-73.units.73-101.phase,,TH-73 · apto 73-101 · fase,Superestructura
buildings.TH-73.units.73-102.progress,,TH-73 · apto 73-102 · avance (%),0
buildings.TH-73.units.73-102.phase,,TH-73 · apto 73-102 · fase,Superestructura
buildings.TH-73.units.73-201.progress,,TH-73 · apto 73-201 · avance (%),0
buildings.TH-73.units.73-201.phase,,TH-73 · apto 73-201 · fase,Superestructura
buildings.TH-73.units.73-202.progress,,TH-73 · apto 73-202 · avance (%),0
buildings.TH-73.units.73-202.phase,,TH-73 · apto 73-202 · fase,Superestructura
buildings.TH-73.units.73-301.progress,,TH-73 · apto 73-301 · avance (%),0
buildings.TH-73.units.73-301.phase,,TH-73 · apto 73-301 · fase,Superestructura
buildings.TH-73.units.73-302.progress,,TH-73 · apto 73-302 · avance (%),0
buildings.TH-73.units.73-302.phase,,TH-73 · apto 73-302 · fase,Superestructura
buildings.TH-72.units.72-101.progress,,TH-72 · apto 72-101 · avance (%),0
buildings.TH-72.units.72-101.phase,,TH-72 · apto 72-101 · fase,Superestructura
buildings.TH-72.units.72-102.progress,,TH-72 · apto 72-102 · avance (%),0
buildings.TH-72.units.72-102.phase,,TH-72 · apto 72-102 · fase,Superestructura
buildings.TH-72.units.72-201.progress,,TH-72 · apto 72-201 · avance (%),0
buildings.TH-72.units.72-201.phase,,TH-72 · apto 72-201 · fase,Superestructura
buildings.TH-72.units.72-202.progress,,TH-72 · apto 72-202 · avance (%),0
buildings.TH-72.units.72-202.phase,,TH-72 · apto 72-202 · fase,Superestructura
buildings.TH-72.units.72-301.progress,,TH-72 · apto 72-301 · avance (%),0
buildings.TH-72.units.72-301.phase,,TH-72 · apto 72-301 · fase,Superestructura
buildings.TH-72.units.72-302.progress,,TH-72 · apto 72-302 · avance (%),0
buildings.TH-72.units.72-302.phase,,TH-72 · apto 72-302 · fase,Superestructura
buildings.TH-75.units.75-101.progress,,TH-75 · apto 75-101 · avance (%),0
buildings.TH-75.units.75-101.phase,,TH-75 · apto 75-101 · fase,Superestructura
buildings.TH-75.units.75-102.progress,,TH-75 · apto 75-102 · avance (%),0
buildings.TH-75.units.75-102.phase,,TH-75 · apto 75-102 · fase,Superestructura
buildings.TH-75.units.75-201.progress,,TH-75 · apto 75-201 · avance (%),0
buildings.TH-75.units.75-201.phase,,TH-75 · apto 75-201 · fase,Superestructura
buildings.TH-75.units.75-202.progress,,TH-75 · apto 75-202 · avance (%),0
buildings.TH-75.units.75-202.phase,,TH-75 · apto 75-202 · fase,Superestructura
buildings.TH-75.units.75-301.progress,,TH-75 · apto 75-301 · avance (%),0
buildings.TH-75.units.75-301.phase,,TH-75 · apto 75-301 · fase,Superestructura
buildings.TH-75.units.75-302.progress,,TH-75 · apto 75-302 · avance (%),0
buildings.TH-75.units.75-302.phase,,TH-75 · apto 75-302 · fase,Superestructura
buildings.TH-74.units.74-101.progress,,TH-74 · apto 74-101 · avance (%),0
buildings.TH-74.units.74-101.phase,,TH-74 · apto 74-101 · fase,Superestructura
