clave,valor,descripcion,valor actual
salesModels.Sunset.value,,Sunset · unidades,32
salesModels.Sunset.june,,Sunset · junio,10
salesModels.Balcony Flex.value,,Balcony Flex · unidades,32
salesModels.Balcony Flex.june,,Balcony Flex · junio,6
salesModels.Garden.value,,Garden · unidades,28
salesModels.Garden.june,,Garden · junio,2
